Country,Item Type,Order Priority,Units Sold,Unit Price,Unit Cost,Year,Order Date
Germany,Meat,H,5761,421.89,364.69,2015,1-9-2015
Iceland,Meat,H,2172,421.89,364.69,2015,10-5-2015
Germany,Cereal,H,6629,205.7,117.11,2016,4-1-2016
Finland,Clothes,L,3266,109.28,35.84,2016,6-9-2016
Finland,Vegetables,M,6641,154.06,90.93,2017,6-5-2017
Turkey,Vegetables,L,2489,154.06,90.93,2016,8-1-2016
Iceland,Meat,H,9692,421.89,364.69,2016,4-8-2016
Norway,Meat,H,165,421.89,364.69,2015,10-4-2015
Turkey,Cereal,L,9377,205.7,117.11,2016,9-1-2016
Turkey,Cereal,M,3616,205.7,117.11,2015,11-2-2015
Turkey,Meat,C,7666,421.89,364.69,2015,7-9-2015
Iceland,Vegetables,H,1475,154.06,90.93,2017,4-2-2017
Finland,Meat,C,4634,421.89,364.69,2016,12-11-2016
Turkey,Meat,L,2938,421.89,364.69,2015,8-2-2015
Finland,Meat,M,7587,421.89,364.69,2015,6-12-2015
Germany,Meat,M,7893,421.89,364.69,2016,1-1-2016
Germany,Clothes,C,7835,109.28,35.84,2016,3-4-2016
Norway,Vegetables,L,9115,154.06,90.93,2015,9-11-2015
Turkey,Vegetables,C,8663,154.06,90.93,2015,2-10-2015
Germany,Cereal,H,8088,205.7,117.11,2017,6-7-2017
Norway,Meat,L,3318,421.89,364.69,2017,6-9-2017
Germany,Meat,C,1778,421.89,364.69,2016,1-5-2016
Turkey,Clothes,M,2807,109.28,35.84,2017,1-10-2017
Iceland,Clothes,H,8069,109.28,35.84,2015,8-10-2015
Iceland,Vegetables,M,1754,154.06,90.93,2017,6-1-2017
Iceland,Clothes,M,637,109.28,35.84,2016,9-6-2016
Germany,Cereal,C,3360,205.7,117.11,2017,7-2-2017
Finland,Vegetables,L,4581,154.06,90.93,2015,3-7-2015
Iceland,Clothes,M,5780,109.28,35.84,2017,2-2-2017
Germany,Meat,H,5059,421.89,364.69,2017,5-8-2017
Germany,Vegetables,M,4805,154.06,90.93,2017,3-12-2017
Norway,Meat,H,8719,421.89,364.69,2017,3-1-2017
Iceland,Clothes,M,886,109.28,35.84,2016,3-10-2016
Germany,Cereal,H,2728,205.7,117.11,2015,10-12-2015
Turkey,Vegetables,L,1131,154.06,90.93,2017,3-8-2017
Germany,Clothes,L,4286,109.28,35.84,2017,4-5-2017
Germany,Meat,M,8767,421.89,364.69,2016,8-1-2016
Turkey,Cereal,C,1408,205.7,117.11,2015,11-12-2015
Iceland,Meat,L,2539,421.89,364.69,2017,7-6-2017
Turkey,Clothes,M,3929,109.28,35.84,2017,2-11-2017
Turkey,Clothes,C,8457,109.28,35.84,2016,4-6-2016
Germany,Clothes,C,5106,109.28,35.84,2017,3-5-2017
Norway,Vegetables,M,6765,154.06,90.93,2015,11-12-2015
Germany,Meat,M,5077,421.89,364.69,2015,6-2-2015
Germany,Meat,M,8271,421.89,364.69,2015,3-4-2015
Norway,Clothes,H,4616,109.28,35.84,2017,1-4-2017
Finland,Vegetables,M,319,154.06,90.93,2016,1-1-2016
Germany,Vegetables,C,3649,154.06,90.93,2016,3-8-2016
Finland,Meat,M,7339,421.89,364.69,2015,12-8-2015
Norway,Meat,H,9682,421.89,364.69,2016,12-8-2016
Iceland,Cereal,C,7402,205.7,117.11,2015,3-2-2015
Turkey,Clothes,C,3008,109.28,35.84,2015,6-2-2015
Iceland,Vegetables,L,3128,154.06,90.93,2017,4-12-2017
Turkey,Cereal,L,824,205.7,117.11,2015,4-5-2015
Germany,Clothes,H,155,109.28,35.84,2015,5-7-2015
Germany,Meat,L,8229,421.89,364.69,2017,2-4-2017
Finland,Cereal,L,5255,205.7,117.11,2016,4-7-2016
Germany,Cereal,M,2014,205.7,117.11,2015,7-8-2015
Iceland,Meat,M,3223,421.89,364.69,2017,2-12-2017
Finland,Cereal,C,4877,205.7,117.11,2017,2-5-2017
Norway,Meat,H,2002,421.89,364.69,2016,2-10-2016
Turkey,Clothes,M,7607,109.28,35.84,2015,9-10-2015
Norway,Vegetables,M,2781,154.06,90.93,2016,11-7-2016
Finland,Meat,C,5934,421.89,364.69,2015,6-2-2015
Norway,Meat,L,5638,421.89,364.69,2016,8-11-2016
Iceland,Cereal,C,1493,205.7,117.11,2016,8-11-2016
Norway,Vegetables,C,9611,154.06,90.93,2017,2-7-2017
Turkey,Cereal,L,8038,205.7,117.11,2015,5-2-2015
Finland,Meat,L,66,421.89,364.69,2017,5-1-2017
Germany,Vegetables,C,920,154.06,90.93,2017,3-9-2017
Finland,Cereal,L,6861,205.7,117.11,2015,3-6-2015
Turkey,Cereal,L,8969,205.7,117.11,2016,11-3-2016
Finland,Clothes,C,7191,109.28,35.84,2016,12-1-2016
Norway,Cereal,L,9775,205.7,117.11,2016,8-2-2016
Germany,Cereal,H,7214,205.7,117.11,2016,11-7-2016
Turkey,Cereal,H,782,205.7,117.11,2017,3-9-2017
Turkey,Cereal,M,5936,205.7,117.11,2015,1-4-2015
Finland,Vegetables,L,598,154.06,90.93,2016,3-1-2016
Germany,Vegetables,C,1577,154.06,90.93,2016,7-8-2016
Finland,Clothes,H,8259,109.28,35.84,2016,5-4-2016
Germany,Vegetables,H,5343,154.06,90.93,2016,9-5-2016
Germany,Meat,M,4917,421.89,364.69,2015,2-6-2015
Iceland,Vegetables,H,135,154.06,90.93,2015,12-1-2015
Finland,Clothes,C,8637,109.28,35.84,2015,7-5-2015
Turkey,Meat,L,209,421.89,364.69,2016,8-2-2016
Iceland,Meat,M,2043,421.89,364.69,2016,2-6-2016
Iceland,Vegetables,L,10000,154.06,90.93,2015,8-10-2015
Turkey,Clothes,H,4791,109.28,35.84,2015,2-8-2015
Iceland,Cereal,L,9959,205.7,117.11,2016,6-6-2016
Finland,Clothes,H,9382,109.28,35.84,2016,6-6-2016
Finland,Cereal,L,4789,205.7,117.11,2015,7-6-2015
Turkey,Meat,H,4967,421.89,364.69,2017,3-6-2017
Iceland,Clothes,H,8535,109.28,35.84,2016,5-12-2016
Germany,Meat,H,2975,421.89,364.69,2015,2-4-2015
Norway,Meat,M,4570,421.89,364.69,2017,3-9-2017
Iceland,Cereal,L,1622,205.7,117.11,2016,4-9-2016
Finland,Meat,L,315,421.89,364.69,2016,11-2-2016
Germany,Clothes,L,1092,109.28,35.84,2017,7-4-2017
Norway,Clothes,C,4280,109.28,35.84,2015,12-1-2015
Iceland,Meat,H,2886,421.89,364.69,2016,1-9-2016
Norway,Clothes,H,9168,109.28,35.84,2016,3-1-2016
Turkey,Vegetables,C,2200,154.06,90.93,2016,8-10-2016
Iceland,Cereal,L,425,205.7,117.11,2017,3-9-2017
Germany,Cereal,C,7343,205.7,117.11,2016,7-6-2016
Iceland,Meat,M,2260,421.89,364.69,2017,5-7-2017
Germany,Meat,C,2652,421.89,364.69,2016,8-4-2016
Norway,Meat,L,9781,421.89,364.69,2015,12-10-2015
Norway,Clothes,C,6818,109.28,35.84,2016,5-2-2016
Iceland,Cereal,L,3943,205.7,117.11,2015,6-11-2015
Germany,Cereal,C,6394,205.7,117.11,2016,12-8-2016
Finland,Clothes,M,610,109.28,35.84,2016,3-3-2016
Germany,Vegetables,M,9765,154.06,90.93,2016,3-4-2016
Iceland,Vegetables,L,6322,154.06,90.93,2017,1-12-2017
Iceland,Cereal,L,2031,205.7,117.11,2016,2-5-2016
Norway,Cereal,M,6635,205.7,117.11,2017,7-1-2017
Iceland,Meat,L,4610,421.89,364.69,2017,3-6-2017
Turkey,Meat,M,9230,421.89,364.69,2016,5-9-2016
Norway,Meat,M,3855,421.89,364.69,2016,12-3-2016
Germany,Cereal,H,8949,205.7,117.11,2015,6-3-2015
Iceland,Clothes,C,2201,109.28,35.84,2017,7-9-2017
Finland,Vegetables,C,5574,154.06,90.93,2015,8-10-2015
Norway,Meat,M,1624,421.89,364.69,2016,12-10-2016
Iceland,Meat,M,3706,421.89,364.69,2015,12-9-2015
Finland,Vegetables,M,6176,154.06,90.93,2016,9-2-2016
Germany,Vegetables,C,3313,154.06,90.93,2015,2-2-2015
Finland,Meat,L,1761,421.89,364.69,2015,6-7-2015
Germany,Clothes,M,2154,109.28,35.84,2016,4-12-2016
Iceland,Cereal,C,6293,205.7,117.11,2015,4-10-2015
Iceland,Vegetables,L,9751,154.06,90.93,2016,2-5-2016
Germany,Meat,L,9645,421.89,364.69,2015,1-12-2015
Finland,Meat,M,533,421.89,364.69,2015,9-9-2015
Germany,Cereal,L,2993,205.7,117.11,2015,10-1-2015
Turkey,Cereal,H,316,205.7,117.11,2016,6-6-2016
Finland,Cereal,C,1589,205.7,117.11,2015,2-9-2015
Norway,Clothes,L,3301,109.28,35.84,2015,9-7-2015
Turkey,Clothes,H,2005,109.28,35.84,2015,3-6-2015
Iceland,Vegetables,C,5638,154.06,90.93,2017,6-5-2017
Finland,Vegetables,H,5662,154.06,90.93,2017,3-12-2017
Germany,Cereal,C,5272,205.7,117.11,2016,11-5-2016
Turkey,Cereal,C,2926,205.7,117.11,2015,8-1-2015
Norway,Vegetables,M,6050,154.06,90.93,2015,8-7-2015
Germany,Vegetables,M,7197,154.06,90.93,2015,2-5-2015
Iceland,Vegetables,H,3795,154.06,90.93,2016,6-4-2016
Norway,Vegetables,M,7173,154.06,90.93,2015,9-9-2015
Norway,Meat,C,8689,421.89,364.69,2016,7-4-2016
Iceland,Clothes,L,9545,109.28,35.84,2017,4-2-2017
Iceland,Meat,C,5838,421.89,364.69,2016,12-1-2016
Turkey,Vegetables,H,51,154.06,90.93,2015,3-3-2015
Finland,Cereal,C,9269,205.7,117.11,2015,12-8-2015
Norway,Cereal,L,4575,205.7,117.11,2015,4-1-2015
Iceland,Clothes,H,4552,109.28,35.84,2017,5-7-2017
Turkey,Cereal,H,4708,205.7,117.11,2015,4-9-2015
Germany,Meat,L,9805,421.89,364.69,2015,5-8-2015
Germany,Cereal,C,5520,205.7,117.11,2016,5-10-2016
Norway,Cereal,M,1116,205.7,117.11,2015,7-11-2015
Finland,Meat,L,1978,421.89,364.69,2016,9-4-2016
Finland,Clothes,C,6783,109.28,35.84,2017,2-2-2017
Norway,Vegetables,L,4958,154.06,90.93,2016,3-2-2016
Norway,Meat,L,8175,421.89,364.69,2017,1-11-2017
Finland,Meat,M,6625,421.89,364.69,2015,9-3-2015
Iceland,Meat,C,6393,421.89,364.69,2016,11-11-2016
Turkey,Vegetables,H,5016,154.06,90.93,2017,3-12-2017
Turkey,Cereal,H,8959,205.7,117.11,2017,1-11-2017
Norway,Cereal,C,4912,205.7,117.11,2016,5-5-2016
Turkey,Meat,C,5345,421.89,364.69,2016,5-6-2016
Turkey,Meat,C,3114,421.89,364.69,2016,5-12-2016
Germany,Clothes,M,4256,109.28,35.84,2016,8-8-2016
Germany,Clothes,L,5892,109.28,35.84,2016,3-3-2016
Finland,Clothes,H,8011,109.28,35.84,2016,11-1-2016
Germany,Cereal,H,7592,205.7,117.11,2016,1-9-2016
Iceland,Cereal,H,4952,205.7,117.11,2016,5-2-2016
Norway,Meat,M,5767,421.89,364.69,2016,4-10-2016
Turkey,Clothes,L,8427,109.28,35.84,2015,8-10-2015
Finland,Vegetables,H,8466,154.06,90.93,2015,3-11-2015
Germany,Vegetables,M,4250,154.06,90.93,2017,4-2-2017
Iceland,Vegetables,H,1972,154.06,90.93,2016,4-8-2016
Germany,Vegetables,H,4877,154.06,90.93,2015,12-5-2015
Norway,Clothes,H,7420,109.28,35.84,2015,1-3-2015
Iceland,Clothes,H,5998,109.28,35.84,2015,12-11-2015
Iceland,Meat,C,8376,421.89,364.69,2017,5-4-2017
Turkey,Cereal,L,9466,205.7,117.11,2015,11-11-2015
Germany,Cereal,M,4422,205.7,117.11,2016,4-11-2016
Norway,Meat,C,1417,421.89,364.69,2015,7-5-2015
Iceland,Clothes,C,3182,109.28,35.84,2015,5-11-2015
Turkey,Meat,M,9390,421.89,364.69,2016,9-3-2016
Turkey,Meat,H,9768,421.89,364.69,2015,11-4-2015
Iceland,Cereal,M,803,205.7,117.11,2016,5-10-2016
Finland,Cereal,L,4381,205.7,117.11,2015,9-9-2015
Iceland,Meat,L,5325,421.89,364.69,2017,6-11-2017
Turkey,Meat,C,6219,421.89,364.69,2016,12-5-2016
Finland,Cereal,L,7078,205.7,117.11,2016,6-4-2016
Finland,Cereal,H,13,205.7,117.11,2016,11-10-2016
Turkey,Cereal,L,6432,205.7,117.11,2016,6-4-2016
Finland,Vegetables,M,8656,154.06,90.93,2016,3-1-2016
Finland,Vegetables,M,8088,154.06,90.93,2016,1-9-2016
Iceland,Meat,H,2798,421.89,364.69,2016,11-1-2016
Germany,Cereal,M,1606,205.7,117.11,2015,9-10-2015
Germany,Cereal,L,5065,205.7,117.11,2015,6-1-2015
Germany,Meat,H,6417,421.89,364.69,2016,10-3-2016
Finland,Cereal,L,3183,205.7,117.11,2016,8-9-2016
Iceland,Cereal,L,9462,205.7,117.11,2017,6-1-2017
Iceland,Meat,L,4770,421.89,364.69,2017,7-1-2017
Germany,Vegetables,L,6105,154.06,90.93,2015,9-1-2015
Germany,Meat,H,5308,421.89,364.69,2016,11-11-2016
Finland,Meat,M,9570,421.89,364.69,2015,12-2-2015
Germany,Cereal,L,2585,205.7,117.11,2015,12-4-2015
Germany,Clothes,M,3950,109.28,35.84,2016,3-2-2016
Iceland,Cereal,H,7113,205.7,117.11,2015,3-11-2015
Norway,Vegetables,M,3265,154.06,90.93,2015,9-3-2015
Norway,Meat,L,6995,421.89,364.69,2016,1-6-2016
Germany,Clothes,C,5733,109.28,35.84,2015,11-8-2015
Turkey,Vegetables,M,9673,154.06,90.93,2016,1-1-2016
Iceland,Cereal,L,7639,205.7,117.11,2017,4-5-2017
Turkey,Cereal,C,1160,205.7,117.11,2016,5-10-2016
Iceland,Cereal,C,3724,205.7,117.11,2016,8-5-2016
Turkey,Meat,H,6090,421.89,364.69,2017,4-8-2017
Turkey,Meat,L,458,421.89,364.69,2016,2-5-2016
Turkey,Meat,L,923,421.89,364.69,2016,11-7-2016
Germany,Cereal,H,7126,205.7,117.11,2015,4-8-2015
Finland,Clothes,C,7923,109.28,35.84,2015,4-1-2015
Turkey,Clothes,L,7695,109.28,35.84,2017,4-12-2017
Turkey,Meat,L,8852,421.89,364.69,2017,3-10-2017
Finland,Clothes,L,7410,109.28,35.84,2015,10-9-2015
Germany,Clothes,H,1600,109.28,35.84,2016,5-3-2016
Germany,Clothes,L,2202,109.28,35.84,2015,1-2-2015
Finland,Vegetables,L,9724,154.06,90.93,2015,8-3-2015
Germany,Cereal,H,6878,205.7,117.11,2015,10-5-2015
Germany,Vegetables,C,3809,154.06,90.93,2016,7-2-2016
Norway,Clothes,C,4586,109.28,35.84,2016,5-10-2016
Iceland,Vegetables,M,4380,154.06,90.93,2017,1-11-2017
Germany,Clothes,M,1936,109.28,35.84,2017,6-7-2017
Turkey,Cereal,C,2052,205.7,117.11,2015,1-1-2015
Finland,Meat,H,8591,421.89,364.69,2015,9-8-2015
Iceland,Cereal,M,5537,205.7,117.11,2016,12-9-2016
Norway,Clothes,M,2308,109.28,35.84,2015,4-4-2015
Finland,Cereal,C,9020,205.7,117.11,2016,6-6-2016
Germany,Meat,L,6771,421.89,364.69,2015,12-1-2015
Germany,Meat,M,6257,421.89,364.69,2016,6-9-2016
Germany,Clothes,C,3034,109.28,35.84,2017,7-7-2017
Norway,Clothes,C,5709,109.28,35.84,2016,6-11-2016
Finland,Meat,M,5427,421.89,364.69,2016,8-3-2016
Turkey,Cereal,C,197,205.7,117.11,2016,8-2-2016
Germany,Clothes,L,2947,109.28,35.84,2015,12-5-2015
Finland,Vegetables,C,2846,154.06,90.93,2016,8-11-2016
Iceland,Meat,C,696,421.89,364.69,2016,7-6-2016
Norway,Meat,C,1169,421.89,364.69,2016,1-1-2016
Iceland,Vegetables,M,4540,154.06,90.93,2017,5-7-2017
Iceland,Meat,M,5703,421.89,364.69,2016,8-11-2016
Germany,Vegetables,M,7036,154.06,90.93,2017,3-6-2017
Turkey,Vegetables,L,1863,154.06,90.93,2015,7-7-2015
Germany,Vegetables,C,2904,154.06,90.93,2015,4-7-2015
Finland,Clothes,C,6566,109.28,35.84,2015,11-6-2015
Iceland,Vegetables,H,7580,154.06,90.93,2017,6-7-2017
Norway,Cereal,H,7479,205.7,117.11,2017,6-4-2017
Finland,Meat,H,6022,421.89,364.69,2017,1-2-2017
Turkey,Cereal,M,5204,205.7,117.11,2016,9-6-2016
Finland,Vegetables,L,2758,154.06,90.93,2015,1-9-2015
Finland,Vegetables,M,3856,154.06,90.93,2017,7-2-2017
Germany,Cereal,H,72,205.7,117.11,2015,7-7-2015
Germany,Cereal,M,8908,205.7,117.11,2017,5-8-2017
Turkey,Cereal,C,2517,205.7,117.11,2015,10-4-2015
Finland,Clothes,H,2651,109.28,35.84,2015,3-7-2015
Turkey,Vegetables,H,8196,154.06,90.93,2016,10-2-2016
Germany,Meat,M,5413,421.89,364.69,2016,7-7-2016
Iceland,Cereal,M,5697,205.7,117.11,2017,4-4-2017
Norway,Cereal,L,1363,205.7,117.11,2017,6-7-2017
Germany,Meat,L,928,421.89,364.69,2015,6-10-2015
Iceland,Vegetables,M,4863,154.06,90.93,2015,11-7-2015
Germany,Vegetables,C,119,154.06,90.93,2015,5-3-2015
Iceland,Clothes,C,1327,109.28,35.84,2016,12-9-2016
Finland,Clothes,L,8767,109.28,35.84,2015,3-4-2015
Norway,Vegetables,H,3394,154.06,90.93,2015,5-2-2015
Germany,Cereal,H,9445,205.7,117.11,2016,11-1-2016
Turkey,Cereal,C,8374,205.7,117.11,2016,6-5-2016
Iceland,Vegetables,L,5856,154.06,90.93,2016,4-12-2016
Turkey,Vegetables,L,2812,154.06,90.93,2015,2-2-2015
Turkey,Cereal,H,3262,205.7,117.11,2016,9-5-2016
Finland,Vegetables,C,3414,154.06,90.93,2016,10-2-2016
Iceland,Vegetables,C,9622,154.06,90.93,2016,6-10-2016
Finland,Meat,L,3992,421.89,364.69,2015,6-1-2015
Iceland,Vegetables,H,9652,154.06,90.93,2017,2-5-2017
Finland,Clothes,C,5208,109.28,35.84,2016,6-11-2016
Norway,Cereal,C,2840,205.7,117.11,2016,9-6-2016
Turkey,Clothes,L,1066,109.28,35.84,2015,6-1-2015
Turkey,Clothes,M,3215,109.28,35.84,2016,11-8-2016
Turkey,Cereal,H,1922,205.7,117.11,2015,5-6-2015
Germany,Cereal,L,4204,205.7,117.11,2017,6-5-2017
Germany,Vegetables,M,7663,154.06,90.93,2015,11-9-2015
Norway,Meat,M,4805,421.89,364.69,2016,7-2-2016
Finland,Cereal,M,4919,205.7,117.11,2015,3-5-2015
Norway,Meat,L,9475,421.89,364.69,2015,7-4-2015
Finland,Meat,L,9441,421.89,364.69,2016,4-5-2016
Iceland,Cereal,L,1157,205.7,117.11,2015,7-8-2015
Norway,Cereal,L,2969,205.7,117.11,2016,5-4-2016
Turkey,Cereal,C,2766,205.7,117.11,2015,4-8-2015
Iceland,Cereal,C,6044,205.7,117.11,2015,10-8-2015
Iceland,Meat,C,9982,421.89,364.69,2016,4-1-2016
Finland,Cereal,C,5037,205.7,117.11,2017,6-2-2017
Turkey,Clothes,M,4790,109.28,35.84,2017,7-3-2017
Germany,Meat,M,4056,421.89,364.69,2017,2-10-2017
Finland,Vegetables,H,2468,154.06,90.93,2017,6-11-2017
Turkey,Meat,L,2046,421.89,364.69,2016,12-10-2016
Turkey,Cereal,M,5687,205.7,117.11,2015,7-3-2015
Turkey,Vegetables,H,7087,154.06,90.93,2016,11-10-2016
Norway,Clothes,H,4368,109.28,35.84,2017,7-4-2017
Norway,Cereal,H,8925,205.7,117.11,2016,1-6-2016
Turkey,Meat,C,3025,421.89,364.69,2017,3-5-2017
Turkey,Vegetables,L,3686,154.06,90.93,2015,9-3-2015
Iceland,Vegetables,H,9812,154.06,90.93,2017,6-1-2017
Iceland,Clothes,H,3678,109.28,35.84,2016,10-8-2016
Norway,Cereal,H,6228,205.7,117.11,2015,4-12-2015
Turkey,Cereal,C,6768,205.7,117.11,2017,7-9-2017
Norway,Clothes,L,2018,109.28,35.84,2015,4-12-2015
Finland,Vegetables,L,8526,154.06,90.93,2016,7-3-2016
Germany,Vegetables,C,2935,154.06,90.93,2015,12-3-2015
Germany,Cereal,H,1735,205.7,117.11,2015,5-9-2015
Norway,Vegetables,L,4315,154.06,90.93,2017,1-12-2017
Turkey,Clothes,M,6733,109.28,35.84,2015,2-10-2015
Turkey,Cereal,C,1320,205.7,117.11,2016,9-3-2016
Finland,Meat,M,7090,421.89,364.69,2016,6-6-2016
Norway,Meat,H,8559,421.89,364.69,2016,11-7-2016
Turkey,Meat,L,2778,421.89,364.69,2015,4-9-2015
Turkey,Vegetables,H,5251,154.06,90.93,2016,7-4-2016
Turkey,Cereal,M,4490,205.7,117.11,2016,6-2-2016
Finland,Vegetables,M,568,154.06,90.93,2015,7-6-2015
Norway,Cereal,L,3684,205.7,117.11,2016,8-9-2016
Germany,Meat,M,7863,421.89,364.69,2015,5-7-2015
Norway,Meat,H,3825,421.89,364.69,2016,4-8-2016
Norway,Cereal,M,9262,205.7,117.11,2017,2-9-2017
Germany,Clothes,M,4505,109.28,35.84,2016,2-11-2016
Finland,Clothes,C,7440,109.28,35.84,2016,6-5-2016
Norway,Cereal,M,8707,205.7,117.11,2017,3-1-2017
Iceland,Cereal,L,2248,205.7,117.11,2017,5-6-2017
Norway,Meat,H,556,421.89,364.69,2017,7-9-2017
Iceland,Cereal,L,1782,205.7,117.11,2016,8-3-2016
Norway,Vegetables,L,8401,154.06,90.93,2015,6-7-2015
Germany,Vegetables,C,206,154.06,90.93,2016,12-3-2016
Iceland,Cereal,C,5796,205.7,117.11,2016,4-4-2016
Iceland,Cereal,M,9215,205.7,117.11,2015,7-7-2015
Germany,Vegetables,M,9020,154.06,90.93,2015,4-4-2015
Germany,Clothes,C,5355,109.28,35.84,2016,9-7-2016
Norway,Meat,L,6512,421.89,364.69,2017,3-12-2017
Norway,Vegetables,M,5745,154.06,90.93,2015,3-1-2015
Turkey,Cereal,L,7629,205.7,117.11,2015,7-5-2015
Norway,Vegetables,H,2751,154.06,90.93,2016,3-12-2016
Norway,Vegetables,H,1553,154.06,90.93,2017,2-10-2017
Iceland,Clothes,L,1240,109.28,35.84,2015,5-9-2015
Turkey,Cereal,H,3568,205.7,117.11,2017,2-12-2017
Turkey,Meat,L,2064,421.89,364.69,2015,1-3-2015
Germany,Vegetables,L,9635,154.06,90.93,2016,7-7-2016
Germany,Vegetables,M,6570,154.06,90.93,2016,6-3-2016
Finland,Meat,M,7804,421.89,364.69,2016,9-10-2016
Finland,Cereal,C,391,205.7,117.11,2016,1-11-2016
Germany,Vegetables,L,9605,154.06,90.93,2015,11-10-2015
Norway,Cereal,C,768,205.7,117.11,2017,1-6-2017
Finland,Meat,M,1890,421.89,364.69,2015,2-3-2015
Turkey,Vegetables,L,6721,154.06,90.93,2015,2-9-2015
Norway,Vegetables,M,5336,154.06,90.93,2015,5-4-2015
Turkey,Meat,C,7417,421.89,364.69,2016,1-5-2016
Turkey,Clothes,C,7099,109.28,35.84,2016,11-11-2016
Norway,Clothes,C,3388,109.28,35.84,2017,4-10-2017
Germany,Clothes,M,3760,109.28,35.84,2015,3-12-2015
Finland,Cereal,H,9051,205.7,117.11,2017,2-1-2017
Norway,Vegetables,L,64,154.06,90.93,2015,4-9-2015
Germany,Meat,L,7107,421.89,364.69,2017,1-4-2017
Iceland,Clothes,M,7851,109.28,35.84,2016,10-3-2016
Germany,Meat,M,8359,421.89,364.69,2016,10-4-2016
Norway,Meat,L,6121,421.89,364.69,2015,6-8-2015
Turkey,Vegetables,L,2578,154.06,90.93,2015,10-12-2015
Turkey,Meat,M,9695,421.89,364.69,2017,2-10-2017
Iceland,Meat,M,3866,421.89,364.69,2016,4-4-2016
Finland,Vegetables,C,1666,154.06,90.93,2015,8-5-2015
Iceland,Cereal,C,8116,205.7,117.11,2015,6-7-2015
Iceland,Meat,L,3488,421.89,364.69,2017,2-2-2017
Finland,Vegetables,C,3720,154.06,90.93,2017,3-11-2017
Norway,Meat,C,60,421.89,364.69,2016,2-9-2016
Turkey,Meat,M,6910,421.89,364.69,2017,3-8-2017
Germany,Clothes,M,2344,109.28,35.84,2017,4-4-2017
Norway,Clothes,C,1800,109.28,35.84,2016,6-5-2016
Norway,Cereal,C,4752,205.7,117.11,2016,1-11-2016
Iceland,Cereal,C,4133,205.7,117.11,2016,6-2-2016
Turkey,Meat,L,9012,421.89,364.69,2017,7-4-2017
Norway,Vegetables,M,3495,154.06,90.93,2017,2-12-2017
Iceland,Cereal,L,4102,205.7,117.11,2015,10-6-2015
Turkey,Cereal,L,5074,205.7,117.11,2017,1-9-2017
Iceland,Meat,H,7532,421.89,364.69,2017,6-1-2017
Norway,Meat,L,7244,421.89,364.69,2015,7-10-2015
Iceland,Clothes,L,3063,109.28,35.84,2015,7-6-2015
Turkey,Meat,M,4030,421.89,364.69,2015,1-7-2015
Norway,Vegetables,H,6180,154.06,90.93,2015,4-6-2015
Germany,Cereal,L,2834,205.7,117.11,2015,6-7-2015
Finland,Clothes,L,6536,109.28,35.84,2015,3-10-2015
Iceland,Meat,H,815,421.89,364.69,2016,5-12-2016
Iceland,Vegetables,C,8748,154.06,90.93,2015,11-10-2015
Iceland,Clothes,M,6494,109.28,35.84,2017,5-10-2017
Finland,Cereal,M,3561,205.7,117.11,2015,10-10-2015
Norway,Meat,H,8968,421.89,364.69,2016,9-4-2016
Iceland,Clothes,C,8199,109.28,35.84,2015,4-8-2015
Iceland,Vegetables,C,30,154.06,90.93,2016,4-7-2016
Norway,Cereal,C,5395,205.7,117.11,2015,3-2-2015
Turkey,Vegetables,H,5965,154.06,90.93,2016,10-8-2016
Norway,Cereal,H,5674,205.7,117.11,2015,5-1-2015
Turkey,Vegetables,C,6503,154.06,90.93,2016,4-3-2016
Iceland,Clothes,M,8565,109.28,35.84,2017,1-8-2017
Germany,Vegetables,C,584,154.06,90.93,2016,2-3-2016
Norway,Meat,H,1345,421.89,364.69,2016,10-11-2016
Iceland,Meat,C,70,421.89,364.69,2015,6-10-2015
Norway,Meat,M,5053,421.89,364.69,2016,1-4-2016
Iceland,Vegetables,C,9533,154.06,90.93,2017,4-1-2017
Iceland,Meat,M,5938,421.89,364.69,2015,12-4-2015
Norway,Clothes,M,6310,109.28,35.84,2017,7-5-2017
Norway,Meat,C,3489,421.89,364.69,2015,3-5-2015
Finland,Vegetables,M,8744,154.06,90.93,2015,5-10-2015
Turkey,Meat,M,121,421.89,364.69,2015,1-1-2015
Turkey,Vegetables,M,1261,154.06,90.93,2016,11-5-2016
Iceland,Clothes,L,2331,109.28,35.84,2017,3-7-2017
Iceland,Clothes,L,667,109.28,35.84,2017,5-5-2017
Turkey,Meat,M,1461,421.89,364.69,2016,5-3-2016
Turkey,Vegetables,L,3935,154.06,90.93,2015,3-7-2015
Norway,Clothes,C,3797,109.28,35.84,2017,2-5-2017
Iceland,Clothes,H,8229,109.28,35.84,2015,12-4-2015
Germany,Vegetables,M,6074,154.06,90.93,2015,1-4-2015
Iceland,Meat,L,3736,421.89,364.69,2016,8-6-2016
Iceland,Vegetables,H,690,154.06,90.93,2015,11-12-2015
Norway,Meat,H,4309,421.89,364.69,2015,2-2-2015
Finland,Meat,M,9410,421.89,364.69,2015,8-8-2015
Norway,Meat,M,661,421.89,364.69,2017,3-4-2017
Germany,Vegetables,C,833,154.06,90.93,2015,8-8-2015
Germany,Meat,H,1151,421.89,364.69,2017,5-3-2017
Germany,Cereal,M,3867,205.7,117.11,2016,5-1-2016
Norway,Cereal,C,6109,205.7,117.11,2015,6-6-2015
Norway,Cereal,M,1276,205.7,117.11,2015,11-5-2015
